CountryCode,iyear,nkill,nattacks
AUT,1998,0.0,1
AUT,2006,0.0,1
AUT,2007,0.0,1
AUT,2008,0.0,7
AUT,2009,1.0,3
AUT,2011,0.0,1
AUT,2013,0.0,1
AUT,2016,0.0,3
AUT,2017,2.0,1
AUT,2018,1.0,1
AZE,1991,26.0,3
AZE,1992,186.0,12
AZE,1994,30.0,11
AZE,1995,0.0,2
AZE,1996,2.0,2
AZE,1997,1.0,1
AZE,2000,0.0,1
AZE,2001,1.0,4
AZE,2002,0.0,1
AZE,2007,0.0,1
AZE,2008,5.0,2
AZE,2009,1.0,2
AZE,2014,0.0,3
AZE,2016,1.0,2
AZE,2017,5.0,2
AZE,2018,0.0,1
BDI,1991,117.0,7
BDI,1992,61.0,2
BDI,1994,265.0,16
BDI,1995,583.0,83
BDI,1996,1371.0,35
BDI,1997,386.0,79
BDI,1998,392.0,13
BDI,1999,108.0,13
BDI,2000,97.0,17
BDI,2001,166.0,37
BDI,2002,67.0,18
BDI,2003,116.0,18
BDI,2004,18.0,1
BDI,2005,13.0,5
BDI,2006,21.0,5
BDI,2007,3.0,3
BDI,2008,28.0,7
BDI,2010,14.0,29
BDI,2011,47.0,8
BDI,2012,6.0,4
BDI,2013,5.0,2
BDI,2014,4.0,5
BDI,2015,223.0,102
BDI,2016,74.0,83
BDI,2017,20.0,21
BDI,2018,36.0,10
BDI,2019,25.0,6
BEL,1970,0.0,1
BEL,1972,0.0,4
BEL,1973,0.0,1
BEL,1974,0.0,5
BEL,1976,0.0,1
BEL,1977,0.0,1
BEL,1978,1.0,8
BEL,1979,1.0,8
BEL,1980,2.0,8
BEL,1981,6.0,6
BEL,1982,0.0,1
BEL,1983,2.0,8
BEL,1984,0.0,10
BEL,1985,10.0,21
BEL,1986,0.0,3
BEL,1987,1.0,1
BEL,1988,1.0,5
BEL,1989,4.0,7
BEL,1990,2.0,2
BEL,1991,1.0,6
BEL,1992,1.0,9
BEL,1994,0.0,5
BEL,1995,0.0,1
BEL,1997,4.0,2
BEL,1998,0.0,3
BEL,1999,0.0,2
BEL,2002,0.0,3
BEL,2003,0.0,8
BEL,2007,0.0,1
BEL,2009,0.0,1
BEL,2012,1.0,1
BEL,2014,4.0,2
BEL,2016,36.0,6
BEL,2017,2.0,3
BEL,2018,4.0,3
BEL,2019,0.0,1
BEN,1992,0.0,1
BEN,1994,0.0,3
BEN,1995,0.0,1
BEN,1996,0.0,2
BEN,2007,0.0,1
BEN,2019,1.0,1
BFA,1984,1.0,1
BFA,1991,1.0,2
BFA,2013,1.0,1
BFA,2015,16.0,6
BFA,2016,62.0,10
BFA,2017,53.0,32
BFA,2018,116.0,72
BFA,2019,804.0,160
BGD,1977,0.0,1
BGD,1979,0.0,1
BGD,1980,6.0,1
BGD,1981,6.0,1
BGD,1982,0.0,1
BGD,1984,1.0,1
BGD,1985,0.0,1
BGD,1986,54.0,11
BGD,1987,26.0,6
BGD,1988,87.0,36
BGD,1989,131.0,36
BGD,1990,66.0,22
BGD,1991,69.0,42
BGD,1992,101.0,76
BGD,1994,30.0,68
BGD,1995,35.0,74
BGD,1996,89.0,161
BGD,1997,14.0,17
BGD,1998,0.0,2
BGD,1999,30.0,11
BGD,2000,11.0,23
BGD,2001,57.0,15
BGD,2002,21.0,5
BGD,2003,3.0,4
BGD,2004,43.0,11
BGD,2005,44.0,23
BGD,2006,19.0,23
BGD,2007,1.0,9
BGD,2008,9.0,19
BGD,2009,18.0,27
BGD,2010,15.0,22
BGD,2011,9.0,13
BGD,2012,8.0,18
BGD,2013,16.0,139
BGD,2014,38.0,130
BGD,2015,86.0,469
BGD,2016,76.0,89
BGD,2017,25.0,41
BGD,2018,13.0,33
BGD,2019,16.0,32
BGR,1982,2.0,2
BGR,1984,0.0,1
BGR,1990,0.0,5
BGR,1991,0.0,3
BGR,1992,0.0,2
BGR,1994,1.0,2
BGR,1995,3.0,2
BGR,1996,9.0,12
BGR,1997,0.0,3
BGR,1998,0.0,2
BGR,1999,0.0,1
BGR,2000,4.0,2
BGR,2001,0.0,1
BGR,2002,1.0,1
BGR,2008,0.0,2
BGR,2011,0.0,2
BGR,2012,8.0,2
BGR,2013,0.0,3
BGR,2014,0.0,1
BGR,2015,0.0,2
BGR,2016,0.0,1
BGR,2018,0.0,1
BHR,1979,0.0,1
BHR,1980,0.0,1
BHR,1991,1.0,1
BHR,1994,0.0,1
BHR,1995,1.0,8
BHR,1996,8.0,16
BHR,1997,5.0,11
BHR,2003,0.0,1
BHR,2006,0.0,1
BHR,2008,1.0,1
BHR,2010,0.0,2
BHR,2011,0.0,1
BHR,2012,4.0,26
BHR,2013,3.0,52
BHR,2014,9.0,42
BHR,2015,5.0,18
BHR,2016,1.0,3
BHR,2017,6.0,21
BHR,2018,0.0,1
BHS,1976,0.0,1
BHS,1981,0.0,1
BHS,1997,1.0,2
BHS,2013,0.0,1
BIH,1992,55.0,22
BIH,1994,3.0,9
BIH,1995,2.0,6
BIH,1996,2.0,33
BIH,1997,5.0,42
BIH,1998,2.0,9
BIH,1999,1.0,5
BIH,2000,1.0,6
BIH,2001,0.0,2
BIH,2002,0.0,3
BIH,2003,0.0,1
BIH,2005,0.0,1
BIH,2006,0.0,1
BIH,2007,1.0,2
BIH,2008,2.0,4
BIH,2009,0.0,1
BIH,2010,1.0,1
BIH,2011,0.0,1
BIH,2013,0.0,1
BIH,2014,0.0,3
BIH,2015,4.0,6
BIH,2018,0.0,2
BLR,1994,0.0,1
BLR,1997,1.0,2
BLR,1999,0.0,1
BLR,2001,0.0,1
BLR,2006,0.0,1
BLR,2008,0.0,1
BLR,2010,0.0,2
BLR,2011,13.0,1
BLR,2012,0.0,3
BLZ,1980,0.0,1
BLZ,1991,2.0,3
BLZ,1992,1.0,2
BLZ,2000,0.0,1
BLZ,2013,0.0,1
BOL,1970,0.0,1
BOL,1971,0.0,2
BOL,1974,0.0,1
BOL,1976,0.0,1
BOL,1977,0.0,1
BOL,1978,0.0,3
BOL,1979,0.0,14
BOL,1980,11.0,35
BOL,1981,1.0,5
BOL,1982,0.0,27
BOL,1983,0.0,27
BOL,1984,1.0,14
BOL,1985,0.0,13
BOL,1986,1.0,4
BOL,1987,1.0,14
BOL,1988,2.0,11
BOL,1989,2.0,40
BOL,1990,6.0,11
BOL,1991,7.0,28
BOL,1992,5.0,38
BOL,1994,1.0,8
BOL,1995,0.0,2
BOL,1996,0.0,1
BOL,1997,4.0,4
BOL,2003,0.0,1
BOL,2005,0.0,1
BOL,2007,0.0,3
BOL,2009,0.0,3
BOL,2012,0.0,1
BOL,2018,12.0,2
BOL,2019,0.0,1
BRA,1970,2.0,6
BRA,1971,0.0,3
BRA,1972,0.0,3
BRA,1973,0.0,2
BRA,1976,0.0,5
BRA,1977,0.0,1
BRA,1978,1.0,5
BRA,1979,4.0,6
BRA,1980,19.0,19
BRA,1981,2.0,11
BRA,1982,27.0,4
BRA,1983,0.0,8
BRA,1984,0.0,5
BRA,1985,0.0,1
BRA,1986,14.0,3
BRA,1987,0.0,1
BRA,1988,0.0,2
BRA,1989,1.0,5
BRA,1990,3.0,7
BRA,1991,12.0,24
BRA,1992,28.0,24
BRA,1994,15.0,19
BRA,1995,13.0,23
BRA,1996,22.0,18
BRA,1997,28.0,39
BRA,1998,0.0,2
BRA,1999,1.0,1
BRA,2000,0.0,2
BRA,2001,1.0,3
BRA,2002,0.0,1
BRA,2003,0.0,1
BRA,2006,1.0,3
BRA,2012,1.0,1
BRA,2013,2.0,3
BRA,2014,2.0,3
BRA,2015,3.0,5
BRA,2016,1.0,2
BRA,2017,0.0,2
BRA,2018,10.0,11
BRA,2019,2.0,3
BRB,1976,73.0,2
BRB,1992,3.0,1
BRN,1972,0.0,5
BRN,1992,0.0,1
BTN,2006,4.0,1
BTN,2008,5.0,3
BTN,2011,0.0,1
BTN,2014,0.0,1
BWA,1974,1.0,1
BWA,1985,0.0,1
BWA,1987,3.0,1
BWA,1988,1.0,3
BWA,1989,0.0,2
BWA,1990,6.0,1
BWA,1995,0.0,1
CAF,1981,3.0,1
CAF,1986,0.0,1
CAF,1991,3.0,4
CAF,1992,1.0,1
CAF,1994,2.0,1
CAF,1996,2.0,1
CAF,2000,1.0,1
CAF,2001,7.0,1
CAF,2006,4.0,1
CAF,2007,1.0,1
CAF,2008,1.0,2
CAF,2009,38.0,5
CAF,2010,46.0,13
CAF,2011,35.0,3
CAF,2012,14.0,4
CAF,2013,121.0,21
CAF,2014,751.0,94
CAF,2015,171.0,49
CAF,2016,189.0,38
CAF,2017,601.0,43
CAF,2018,227.0,46
CAF,2019,116.0,15
CAN,1970,1.0,2
CAN,1972,1.0,4
CAN,1974,0.0,1
CAN,1980,0.0,3
CAN,1982,1.0,5
CAN,1983,0.0,1
CAN,1985,331.0,3
CAN,1986,0.0,2
CAN,1989,15.0,1
CAN,1992,0.0,3
CAN,1994,0.0,4
CAN,1995,1.0,5
CAN,1996,0.0,1
CAN,1997,0.0,2
CAN,1998,1.0,4
CAN,1999,0.0,2
CAN,2000,0.0,5
CAN,2004,0.0,2
CAN,2006,0.0,2
CAN,2008,0.0,5
CAN,2009,0.0,4
CAN,2010,0.0,2
CAN,2012,0.0,3
CAN,2013,0.0,4
CAN,2014,7.0,3
CAN,2015,0.0,5
CAN,2016,1.0,6
CAN,2017,6.0,16
CAN,2018,13.0,7
CAN,2019,0.0,5
CHE,1970,47.0,3
CHE,1971,0.0,1
CHE,1972,0.0,3
CHE,1973,0.0,2
CHE,1974,0.0,3
CHE,1975,0.0,3
CHE,1976,0.0,4
CHE,1977,0.0,4
CHE,1978,0.0,3
CHE,1979,1.0,6
CHE,1980,0.0,7
CHE,1981,2.0,13
CHE,1982,0.0,6
CHE,1983,0.0,3
CHE,1984,0.0,1
CHE,1985,0.0,7
CHE,1987,1.0,1
CHE,1988,0.0,4
CHE,1990,1.0,1
CHE,1991,0.0,2
CHE,1992,6.0,6
CHE,1995,1.0,5
CHE,1996,1.0,4
CHE,1997,0.0,1
CHE,1998,0.0,1
CHE,1999,0.0,2
CHE,2000,0.0,4
CHE,2001,14.0,2
CHE,2003,0.0,1
CHE,2007,0.0,2
CHE,2011,0.0,3
CHE,2013,0.0,2
CHE,2016,0.0,2
CHE,2018,0.0,1
CHE,2019,0.0,1
CHL,1973,0.0,7
CHL,1976,0.0,2
CHL,1977,0.0,6
CHL,1978,0.0,8
CHL,1979,6.0,49
CHL,1980,6.0,41
CHL,1981,19.0,34
CHL,1982,2.0,21
CHL,1983,15.0,106
CHL,1984,37.0,563
CHL,1985,30.0,232
CHL,1986,22.0,243
CHL,1987,9.0,173
CHL,1988,19.0,185
CHL,1989,19.0,146
CHL,1990,8.0,161
CHL,1991,16.0,127
CHL,1992,12.0,116
CHL,1994,0.0,15
CHL,1995,1.0,17
CHL,1996,2.0,8
CHL,1997,0.0,6
CHL,1998,0.0,1
CHL,1999,0.0,3
CHL,2000,0.0,2
CHL,2001,0.0,3
CHL,2002,0.0,1
CHL,2003,0.0,2
CHL,2006,0.0,1
CHL,2007,0.0,8
CHL,2008,0.0,4
CHL,2009,0.0,8
CHL,2010,0.0,5
CHL,2011,0.0,6
CHL,2012,0.0,2
CHL,2013,2.0,5
CHL,2014,1.0,17
CHL,2015,0.0,1
CHL,2016,2.0,18
CHL,2017,0.0,17
CHL,2018,0.0,47
CHL,2019,0.0,27
CHN,1989,20.0,3
CHN,1990,2.0,1
CHN,1991,0.0,1
CHN,1992,9.0,5
CHN,1994,18.0,13
CHN,1995,6.0,8
CHN,1996,23.0,62
CHN,1997,37.0,18
CHN,1998,50.0,2
CHN,1999,5.0,2
CHN,2000,1.0,4
CHN,2001,7.0,12
CHN,2002,1.0,2
CHN,2003,1.0,3
CHN,2004,4.0,2
CHN,2005,12.0,1
CHN,2008,39.0,20
CHN,2009,186.0,7
CHN,2010,7.0,1
CHN,2011,19.0,4
CHN,2012,27.0,4
CHN,2013,60.0,12
CHN,2014,322.0,37
CHN,2015,123.0,17
CHN,2016,13.0,5
CHN,2017,16.0,6
CHN,2018,2.0,1
CHN,2019,0.0,13
CIV,1992,1.0,3
CIV,1994,5.0,2
CIV,1995,40.0,7
CIV,1996,5.0,2
CIV,1997,0.0,1
CIV,2000,4.0,2
CIV,2001,12.0,1
CIV,2002,3.0,1
CIV,2004,12.0,1
CIV,2005,41.0,1
CIV,2006,20.0,3
CIV,2007,0.0,1
CIV,2010,10.0,7
CIV,2011,23.0,3
CIV,2012,45.0,16
CIV,2013,4.0,4
CIV,2014,4.0,1
CIV,2015,14.0,4
CIV,2016,22.0,1
CIV,2017,3.0,13
CIV,2018,2.0,2
CIV,2019,0.0,1
CMR,1991,36.0,4
CMR,1992,6.0,6
CMR,1994,33.0,6
CMR,1995,5.0,2
CMR,1998,0.0,1
CMR,2007,31.0,1
CMR,2008,3.0,1
CMR,2009,0.0,1
CMR,2010,5.0,3
CMR,2011,4.0,3
CMR,2013,7.0,3
CMR,2014,789.0,68
CMR,2015,931.0,83
CMR,2016,269.0,58
CMR,2017,244.0,111
CMR,2018,296.0,236
CMR,2019,318.0,146
COD,1972,0.0,3
COD,1973,0.0,1
COD,1977,1.0,1
COD,1984,2.0,3
COD,1988,28.0,1
COD,1991,3.0,6
COD,1992,10.0,5
COD,1994,1.0,6
COD,1995,43.0,6
COD,1996,223.0,13
COD,1997,21.0,6
COD,1998,67.0,4
COD,1999,7.0,3
COD,2000,40.0,3
COD,2001,15.0,5
COD,2002,16.0,7
COD,2003,154.0,6
COD,2004,22.0,5
COD,2005,31.0,5
COD,2006,23.0,5
COD,2007,72.0,11
COD,2008,319.0,20
COD,2009,824.0,54
COD,2010,118.0,18
COD,2011,50.0,16
COD,2012,288.0,25
COD,2013,150.0,22
COD,2014,366.0,110
COD,2015,371.0,143
COD,2016,532.0,169
COD,2017,596.0,143
COD,2018,993.0,163
COD,2019,642.0,250
COG,1972,0.0,1
COG,1977,0.0,2
COG,1982,15.0,1
COG,1990,0.0,1
COG,1994,12.0,8
COG,1996,0.0,1
COG,1997,2.0,2
COG,1999,107.0,3
COG,2001,0.0,1
COG,2002,17.0,3
COG,2003,11.0,1
COG,2013,2.0,1
COG,2016,31.0,15
COL,1970,0.0,1
COL,1972,1.0,2
COL,1973,0.0,6
COL,1975,7.0,10
COL,1976,10.0,22
COL,1977,38.0,80
COL,1978,71.0,158
COL,1979,156.0,140
COL,1980,159.0,141
COL,1981,365.0,172
COL,1982,368.0,222
COL,1983,437.0,234
COL,1984,485.0,237
COL,1985,935.0,382
COL,1986,771.0,307
COL,1987,655.0,337
COL,1988,1096.0,427
COL,1989,751.0,492
COL,1990,694.0,349
COL,1991,742.0,420
COL,1992,631.0,523
COL,1994,218.0,201
COL,1995,521.0,123
COL,1996,611.0,409
COL,1997,1230.0,598
COL,1998,592.0,94
COL,1999,262.0,116
COL,2000,426.0,137
COL,2001,576.0,207
COL,2002,356.0,150
COL,2003,184.0,98
COL,2004,83.0,37
COL,2005,145.0,42
COL,2006,79.0,43
COL,2007,64.0,30
COL,2008,85.0,133
COL,2009,107.0,139
COL,2010,56.0,136
COL,2011,43.0,94
COL,2012,168.0,115
COL,2013,136.0,149
COL,2014,143.0,231
COL,2015,104.0,136
COL,2016,52.0,110
COL,2017,84.0,119
COL,2018,132.0,205
COL,2019,134.0,228
COM,1992,1.0,1
COM,1994,0.0,1
COM,1997,0.0,3
COM,2018,0.0,2
COM,2019,0.0,1
CRI,1971,0.0,1
CRI,1976,0.0,12
CRI,1977,0.0,5
CRI,1978,0.0,2
CRI,1979,3.0,2
CRI,1980,0.0,3
CRI,1981,4.0,10
CRI,1982,4.0,6
CRI,1983,0.0,3
CRI,1984,0.0,2
CRI,1985,0.0,5
CRI,1986,0.0,1
CRI,1987,0.0,3
CRI,1988,0.0,2
CRI,1989,1.0,1
CRI,1990,0.0,1
CRI,1991,0.0,2
CRI,1992,0.0,2
CRI,1994,1.0,1
CRI,1996,1.0,1
CRI,1997,2.0,1
CRI,2001,1.0,1
CRI,2019,0.0,2
CUB,1991,0.0,1
CUB,1992,3.0,4
CUB,1994,3.0,9
CUB,1996,0.0,1
CUB,1997,1.0,14
CUB,2007,1.0,1
